algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSDppInstant,1400,1,996.389,2446822,9860700,12307522,3916652,804178,2855395,804178,0,0,1960000,100,ok
BBMSDppStepwise,1400,1,996.389,2446822,9860700,12307522,3916652,804178,2288447,1886100,0,0,1960000,100,ok
DijkstraPrims,1400,1,996.389,0,0,0,0,0,0,0,1960000,1959077,1959077,99.9529,ok
BBMSCore,1400,2,1006.33,251099608,0,251099608,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,2,1006.33,2441130,32902517,35343647,3916892,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,2,1006.33,2441130,9870047,12311177,3916892,808236,2829425,808236,0,0,1960000,100,ok
BBMSDppStepwise,1400,2,1006.33,2441130,9870047,12311177,3916892,808236,2290167,1884437,0,0,1960000,100,ok
DijkstraPrims,1400,2,1006.33,0,0,0,0,0,0,0,1960000,1959727,1959727,99.9861,ok
BBMSCore,1400,3,998.387,264581638,0,264581638,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,3,998.387,2448596,31386186,33834782,3916725,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,3,998.387,2448596,9864768,12313364,3916725,799565,2831202,799565,0,0,1960000,100,ok
BBMSDppStepwise,1400,3,998.387,2448596,9864768,12313364,3916725,799565,2288362,1879160,0,0,1960000,100,ok
DijkstraPrims,1400,3,998.387,0,0,0,0,0,0,0,1960000,1959162,1959162,99.9572,ok
BBMSCore,1400,4,1000.7,238417204,0,238417204,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,4,1000.7,2443160,30591593,33034753,3916832,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,4,1000.7,2443160,9866634,12309794,3916832,805898,2846574,805898,0,0,1960000,100,ok
BBMSDppStepwise,1400,4,1000.7,2443160,9866634,12309794,3916832,805898,2288929,1883989,0,0,1960000,100,ok
DijkstraPrims,1400,4,1000.7,0,0,0,0,0,0,0,1960000,1959355,1959355,99.9671,ok
BBMSCore,2300,0,1002.89,834048920,0,834048920,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,0,1002.89,6572888,100481793,107054681,10574322,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,0,1002.89,6572888,26674687,33247575,10574322,2182217,7819023,2182217,0,0,5290000,100,ok
BBMSDppStepwise,2300,0,1002.89,6572888,26674687,33247575,10574322,2182217,6219909,5138679,0,0,5290000,100,ok
DijkstraPrims,2300,0,1002.89,0,0,0,0,0,0,0,5290000,5289223,5289223,99.9853,ok
BBMSCore,2300,1,993.766,786264300,0,786264300,0,0,0,0,0,0,5290000,100,ok
